<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.10	20:00:00	1.09670	1.09699	1.09594	1.09696	2087	0	0
2024.01.10	21:00:00	1.09696	1.09709	1.09669	1.09704	1778	0	0
2024.01.10	22:00:00	1.09704	1.09729	1.09615	1.09657	2652	0	0
2024.01.10	23:00:00	1.09657	1.09732	1.09650	1.09728	952	0	0
2024.01.11	00:00:00	1.09721	1.09727	1.09654	1.09724	536	0	3
2024.01.11	01:00:00	1.09727	1.09749	1.09712	1.09742	566	0	0
2024.01.11	02:00:00	1.09743	1.09790	1.09732	1.09780	1246	0	0
2024.01.11	03:00:00	1.09780	1.09804	1.09752	1.09790	1485	0	0
2024.01.11	04:00:00	1.09791	1.09850	1.09772	1.09782	1439	0	0
2024.01.11	05:00:00	1.09782	1.09813	1.09774	1.09804	815	0	0
2024.01.11	06:00:00	1.09804	1.09830	1.09776	1.09778	896	0	0
2024.01.11	07:00:00	1.09778	1.09816	1.09758	1.09784	1043	0	0
2024.01.11	08:00:00	1.09784	1.09886	1.09746	1.09858	1379	0	0
2024.01.11	09:00:00	1.09862	1.09870	1.09774	1.09790	1840	0	0
2024.01.11	10:00:00	1.09790	1.09815	1.09718	1.09750	2609	0	0
2024.01.11	11:00:00	1.09750	1.09753	1.09590	1.09638	2644	0	0
2024.01.11	12:00:00	1.09638	1.09698	1.09588	1.09690	2317	0	0
2024.01.11	13:00:00	1.09690	1.09826	1.09678	1.09788	2270	0	0
2024.01.11	14:00:00	1.09792	1.09906	1.09764	1.09838	2167	0	0
2024.01.11	15:00:00	1.09838	1.09976	1.09356	1.09395	6450	0	0
2024.01.11	16:00:00	1.09398	1.09734	1.09316	1.09542	6968	0	0
2024.01.11	17:00:00	1.09543	1.09628	1.09304	1.09465	6240	0	0
2024.01.11	18:00:00	1.09466	1.09574	1.09368	1.09425	4780	0	0
2024.01.11	19:00:00	1.09426	1.09546	1.09416	1.09510	3888	0	0
2024.01.11	20:00:00	1.09510	1.09661	1.09499	1.09649	3444	0	0
2024.01.11	21:00:00	1.09650	1.09830	1.09650	1.09820	3253	0	0
2024.01.11	22:00:00	1.09820	1.09826	1.09563	1.09716	3249	0	0
2024.01.11	23:00:00	1.09716	1.09754	1.09703	1.09735	1446	0	0
2024.01.12	00:00:00	1.09721	1.09741	1.09618	1.09715	644	0	3
2024.01.12	01:00:00	1.09716	1.09828	1.09699	1.09826	871	0	0
2024.01.12	02:00:00	1.09826	1.09849	1.09742	1.09757	1603	0	0
2024.01.12	03:00:00	1.09753	1.09844	1.09726	1.09828	1666	0	0
2024.01.12	04:00:00	1.09829	1.09854	1.09782	1.09798	1329	0	0
2024.01.12	05:00:00	1.09797	1.09829	1.09773	1.09779	942	0	0
2024.01.12	06:00:00	1.09778	1.09779	1.09733	1.09758	952	0	0
2024.01.12	07:00:00	1.09758	1.09804	1.09738	1.09756	1067	0	0
2024.01.12	08:00:00	1.09758	1.09788	1.09731	1.09751	1096	0	0
2024.01.12	09:00:00	1.09771	1.09776	1.09610	1.09668	2440	0	0
2024.01.12	10:00:00	1.09662	1.09830	1.09653	1.09752	3044	0	0
2024.01.12	11:00:00	1.09751	1.09800	1.09611	1.09626	2523	0	0
2024.01.12	12:00:00	1.09625	1.09642	1.09570	1.09600	2229	0	0
2024.01.12	13:00:00	1.09600	1.09621	1.09467	1.09497	2293	0	0
2024.01.12	14:00:00	1.09497	1.09519	1.09372	1.09378	2602	0	0
2024.01.12	15:00:00	1.09380	1.09696	1.09361	1.09555	5629	0	0
2024.01.12	16:00:00	1.09554	1.09850	1.09529	1.09756	5489	0	0
2024.01.12	17:00:00	1.09757	1.09870	1.09623	1.09665	5088	0	0
2024.01.12	18:00:00	1.09663	1.09740	1.09583	1.09583	3977	0	0
2024.01.12	19:00:00	1.09582	1.09588	1.09472	1.09497	2831	0	0
2024.01.12	20:00:00	1.09497	1.09597	1.09492	1.09596	2054	0	0
2024.01.12	21:00:00	1.09592	1.09636	1.09538	1.09561	1826	0	0
2024.01.12	22:00:00	1.09560	1.09566	1.09505	1.09513	1515	0	0
2024.01.12	23:00:00	1.09517	1.09527	1.09483	1.09504	1166	0	0
2024.01.15	00:00:00	1.09457	1.09500	1.09411	1.09474	640	0	3
2024.01.15	01:00:00	1.09473	1.09494	1.09441	1.09450	743	0	0
2024.01.15	02:00:00	1.09451	1.09540	1.09408	1.09535	1580	0	0
2024.01.15	03:00:00	1.09534	1.09561	1.09494	1.09548	1482	0	0
2024.01.15	04:00:00	1.09550	1.09654	1.09550	1.09650	1120	0	0
2024.01.15	05:00:00	1.09650	1.09674	1.09636	1.09642	939	0	0
2024.01.15	06:00:00	1.09641	1.09644	1.09586	1.09630	795	0	0
2024.01.15	07:00:00	1.09630	1.09659	1.09607	1.09640	825	0	0
2024.01.15	08:00:00	1.09640	1.09665	1.09624	1.09639	1011	0	0
2024.01.15	09:00:00	1.09638	1.09662	1.09514	1.09534	2391	0	0
2024.01.15	10:00:00	1.09537	1.09650	1.09537	1.09580	2847	0	0
2024.01.15	11:00:00	1.09580	1.09588	1.09431	1.09468	2438	0	0
2024.01.15	12:00:00	1.09466	1.09468	1.09336	1.09402	2337	0	0
2024.01.15	13:00:00	1.09402	1.09490	1.09400	1.09454	1709	0	0
2024.01.15	14:00:00	1.09452	1.09590	1.09438	1.09538	2386	0	0
2024.01.15	15:00:00	1.09537	1.09541	1.09443	1.09504	2415	0	0
2024.01.15	16:00:00	1.09504	1.09519	1.09386	1.09434	2253	0	0
2024.01.15	17:00:00	1.09434	1.09508	1.09382	1.09496	2262	0	0
2024.01.15	18:00:00	1.09498	1.09524	1.09466	1.09472	1347	0	0
2024.01.15	19:00:00	1.09472	1.09525	1.09461	1.09481	897	0	0
2024.01.15	20:00:00	1.09482	1.09528	1.09477	1.09528	269	0	0
2024.01.15	21:00:00	1.09528	1.09536	1.09498	1.09505	362	0	0
2024.01.15	22:00:00	1.09505	1.09519	1.09491	1.09518	488	0	0
2024.01.15	23:00:00	1.09518	1.09519	1.09500	1.09504	363	0	0
2024.01.16	00:00:00	1.09478	1.09504	1.09422	1.09492	1511	0	12
2024.01.16	01:00:00	1.09497	1.09509	1.09448	1.09450	805	0	0
2024.01.16	02:00:00	1.09450	1.09462	1.09191	1.09197	1772	0	0
2024.01.16	03:00:00	1.09198	1.09316	1.09154	1.09276	2428	0	0
2024.01.16	04:00:00	1.09276	1.09277	1.09216	1.09238	1526	0	0
2024.01.16	05:00:00	1.09239	1.09254	1.09162	1.09188	1289	0	0
2024.01.16	06:00:00	1.09188	1.09200	1.09135	1.09175	1011	0	0
2024.01.16	07:00:00	1.09175	1.09186	1.09126	1.09154	1425	0	0
2024.01.16	08:00:00	1.09152	1.09216	1.09128	1.09173	1598	0	0
2024.01.16	09:00:00	1.09177	1.09268	1.09087	1.09184	2816	0	0
2024.01.16	10:00:00	1.09184	1.09234	1.08947	1.09047	4669	0	0
2024.01.16	11:00:00	1.09016	1.09041	1.08840	1.08860	3555	0	0
2024.01.16	12:00:00	1.08863	1.08895	1.08793	1.08813	2688	0	0
2024.01.16	13:00:00	1.08813	1.08945	1.08738	1.08922	2732	0	0
2024.01.16	14:00:00	1.08922	1.08932	1.08837	1.08862	2524	0	0
2024.01.16	15:00:00	1.08862	1.08980	1.08716	1.08741	5019	0	0
