return,date
-0.00012793332845972838,2024.01.08
0.0006397484874518522,2024.01.08
-5.480052608519692e-05,2024.01.08
-0.000986463528251158,2024.01.08
-0.00039314645162458195,2024.01.08
0.00010061190330290515,2024.01.08
0.00031095096120425936,2024.01.08
0.0007679929783499517,2024.01.08
-6.395030147998693e-05,2024.01.08
-0.001059815628626004,2024.01.08
0.00032011121578245927,2024.01.08
0.0004845847200378728,2024.01.08
-0.0004021018962759859,2024.01.08
0.0006125378264962844,2024.01.08
0.0005573422995395205,2024.01.08
0.0008583769370555938,2024.01.08
0.0008667645958595482,2024.01.08
0.0005196083793688189,2024.01.08
-0.0009840098400983877,2024.01.08
-0.000839056244128944,2024.01.08
0.000511158778695453,2024.01.08
-0.0005747598324984393,2024.01.08
-0.0004016504180816005,2024.01.08
-0.00010045295149041511,2024.01.09
5.4798023617852465e-05,2024.01.09
0.0005022876921250141,2024.01.09
0.0005659309564234327,2024.01.09
0.00012771858122895274,2024.01.09
0.0,2024.01.09
-0.0006202681747696781,2024.01.09
-0.0005841441375659118,2024.01.09
5.4795521379435996e-05,2024.01.09
0.0005661893629456127,2024.01.09
-0.0006115035686254933,2024.01.09
-0.0005205526991113318,2024.01.09
-0.0007766670930721142,2024.01.09
-0.0003932075678739766,2024.01.09
0.0008416122363101852,2024.01.09
0.0004935743926293146,2024.01.09
-3.6543029417135386e-05,2024.01.09
-0.0025215611752666955,2024.01.09
0.0015021066129325966,2024.01.09
-1.8290898448847237e-05,2024.01.09
-0.0009145616506009979,2024.01.09
0.00010984786071310815,2024.01.09
0.0002471305398428214,2024.01.09
0.0002836723675663233,2024.01.09
-0.00023785128805631217,2024.01.10
0.00031111029775088284,2024.01.10
-0.00010976948408336629,2024.01.10
0.00013722691843209844,2024.01.10
0.00013720808978900934,2024.01.10
-0.00040242184784800017,2024.01.10
0.00023789046059241592,2024.01.10
3.6589828027899785e-05,2024.01.10
-0.0006951812959643533,2024.01.10
0.00013730228471020567,2024.01.10
0.0015650311633399472,2024.01.10
0.0003472412595717511,2024.01.10
0.00019182987430577114,2024.01.10
-0.0002922561259622869,2024.01.10
-0.00020098482564578912,2024.01.10
-0.0002924003326052471,2024.01.10
-6.398128090523425e-05,2024.01.10
0.0025045703839121636,2024.01.10
-0.0007659062311942133,2024.01.10
0.0007482434528696125,2024.01.10
0.00021883434240277388,2024.01.10
7.292882147025281e-05,2024.01.10
-0.0004284255815648619,2024.01.10
0.000647473485504868,2024.01.10
-3.645377661132265e-05,2024.01.11
0.00016404797491897938,2024.01.11
0.0003462666982558815,2024.01.11
9.109127345596768e-05,2024.01.11
-7.286638127346201e-05,2024.01.11
0.0002003971507167357,2024.01.11
-0.00023678554515316197,2024.01.11
5.465575980601045e-05,2024.01.11
0.0006740508635136866,2024.01.11
-0.0006189808662089291,2024.01.11
-0.00036433190636686597,2024.01.11
-0.0010205011389521346,2024.01.11
0.0004742881117860698,2024.01.11
0.0008934269304403664,2024.01.11
0.00045542317921798414,2024.01.11
-0.004033212549390819,2024.01.11
